Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
19/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
20/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
21/06/2021,146.65,4285711,144.11,147.07,144.06,1,1,1,1
22/06/2021,146.36,2437121,146.52,146.81,145.35,0,0,0,1
23/06/2021,144.61,3202644,146.43,146.5,144.57,0,0,-1,-1
24/06/2021,145.44,3609679,145.8,146.19,144.69,0,1,0,-1
25/06/2021,146.84,3594218,145.38,146.93,144.945,1,1,1,1
26/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
27/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
28/06/2021,145.29,3888869,147.01,147.3,144.9121,0,1,-1,1
29/06/2021,145.55,2428626,145.26,146.74,145.1,1,1,0,-1
30/06/2021,146.59,3245091,145.13,146.93,144.71,1,1,1,1
01/07/2021,146.84,2686289,146.96,147.5,146.57,0,1,0,1
02/07/2021,140.02,16828160,146.91,146.95,139.46,0,0,-1,-1
03/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
04/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
05/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
06/07/2021,138.78,8093747,139.99,140.42,137.1,0,1,-1,1
07/07/2021,139.82,4059667,138.76,140.33,138.76,1,1,1,0
08/07/2021,140.74,5487425,137.78,141.31,137.66,1,1,1,1
09/07/2021,141.52,3904059,141.45,141.98,140.841,1,1,0,1
10/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
11/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
12/07/2021,140.92,3342627,141.43,141.9599,140.115,0,1,0,1
13/07/2021,140.28,3164294,140.92,140.92,139.63,0,0,0,-1
14/07/2021,139.82,4403752,140.72,140.75,138.9273,0,0,-1,-1
15/07/2021,140.45,3639698,139.32,140.46,138.8005,1,1,1,0
16/07/2021,138.9,4109308,141,141,138.59,0,0,-1,0
17/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
18/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
19/07/2021,137.92,8582302,136.45,138.49,136.2089,1,1,1,1
20/07/2021,139.97,13611680,143,144.92,138.7,0,1,-1,1
21/07/2021,141.3,4803977,139.97,141.39,139.65,1,1,1,-1
22/07/2021,140.71,3314153,141.66,141.81,140.41,0,0,-1,1
23/07/2021,141.34,4474157,140.96,141.7,140.33,1,1,0,0
24/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
25/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
26/07/2021,142.77,4246266,141.39,143,141.13,1,1,1,1
27/07/2021,142.75,3137027,142.53,143.64,141.6,1,0,0,1
28/07/2021,141.77,2544099,143.01,143.1,141.64,0,0,-1,-1
29/07/2021,141.93,2670873,142.33,142.96,141.6,0,1,0,-1
30/07/2021,140.96,3535555,141.52,141.85,140.79,0,0,0,-1
31/07/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
01/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
02/08/2021,141.42,2929540,141.45,143.06,141.03,0,1,0,1
03/08/2021,144.07,4084724,141.9,144.7,141.65,1,1,1,1
04/08/2021,142.76,2830079,143.8,144.18,142.47,0,0,-1,1
05/08/2021,142.77,2757389,143.03,143.41,142.22,0,1,0,-1
06/08/2021,144.09,3826835,143,144.39,142.89,1,1,1,1
07/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
08/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
09/08/2021,141.25,4904065,142.2,142.495,140.97,0,1,-1,1
10/08/2021,141.38,5299869,141.21,141.811,140.34,1,1,0,-1
11/08/2021,142.13,4259952,141.78,142.7685,141.5,1,1,0,1
12/08/2021,143.07,2089418,142.26,143.15,142.0766,1,1,1,1
13/08/2021,143.18,1910443,142.64,143.58,142.44,1,1,0,1
14/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
15/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
16/08/2021,143.59,2786343,143.23,143.74,142.23,1,1,0,1
17/08/2021,142.42,3074078,143,143.16,141.09,0,0,0,-1
18/08/2021,139.47,3510694,141.67,141.915,139.39,0,0,-1,-1
19/08/2021,138.02,4160129,138.69,139.45,137.21,0,0,0,-1
20/08/2021,139.11,2657763,137.74,139.38,137.27,1,1,1,0
21/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
22/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
23/08/2021,139.62,3039587,139.62,140.15,138.8,0,1,0,1
24/08/2021,139.84,2365638,139.78,140.23,139.32,1,1,0,0
25/08/2021,139.86,2012817,139.92,140.8,139.46,0,1,0,0
26/08/2021,138.78,2498915,139.97,140.8,138.71,0,0,-1,-1
27/08/2021,139.41,2459643,138.71,139.585,138.4,1,1,1,0
28/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
29/08/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
30/08/2021,138.97,1995526,139.5,139.88,138.815,0,1,0,1
31/08/2021,140.34,4235101,139.54,140.94,138.95,1,1,1,1
01/09/2021,139.3,2474544,139.98,140.0699,139.19,0,0,0,0
02/09/2021,140.01,2715659,139.72,140.05,139.03,1,1,0,0
03/09/2021,139.58,1924215,139.68,140.47,139.3,0,0,0,0
04/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
05/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
06/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
07/09/2021,138.06,3285363,139.65,139.79,137.7614,0,1,-1,1
08/09/2021,138.67,2985409,138.14,139.09,137.6,1,1,0,-1
09/09/2021,137.74,3508363,137.85,138.96,137.555,0,0,0,0
10/09/2021,137.02,3975115,138.82,139.3699,137,0,0,-1,-1
11/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
12/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
13/09/2021,138.15,4144345,138.4,138.99,137.51,0,1,0,1
14/09/2021,136.22,4454291,138.4,138.57,135.34,0,0,-1,-1
15/09/2021,137.2,3254122,136.22,137.8,135.67,1,1,1,-1
16/09/2021,136.43,2643975,137.28,137.95,135.71,0,0,-1,0
17/09/2021,135.23,5633480,135.75,135.9199,135.05,0,0,0,-1
18/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
