Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
12/07/2021,277.32,18931700,279.157,279.77,276.58,0,1,-1,1
13/07/2021,280.98,26120130,277.52,282.8477,277.39,1,1,1,1
14/07/2021,282.51,23113660,282.345,283.66,280.55,1,1,0,1
15/07/2021,281.03,22604230,282,282.51,279.83,0,0,0,0
16/07/2021,280.75,26186850,282.07,284.1,279.46,0,0,0,0
17/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
18/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
19/07/2021,277.01,32935630,278.934,280.37,274.45,0,1,-1,1
20/07/2021,279.32,26259740,278.03,280.97,276.26,1,1,0,0
21/07/2021,281.4,24364320,278.905,281.52,277.29,1,1,1,1
22/07/2021,286.14,23384060,283.84,286.42,283.42,1,1,1,1
23/07/2021,289.67,22768070,287.37,289.99,286.5,1,1,1,1
24/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
25/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
26/07/2021,289.05,23176070,289,289.69,286.642,1,1,0,1
27/07/2021,286.54,33604070,289.43,289.575,282.95,0,0,-1,-1
28/07/2021,286.22,33566850,288.99,290.15,283.8303,0,0,-1,-1
29/07/2021,286.5,18168290,286.235,288.618,286.08,1,1,0,-1
30/07/2021,284.91,20944850,285.17,286.66,283.91,0,0,0,0
31/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
01/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
02/08/2021,284.82,16267360,286.36,286.775,283.74,0,1,-1,1
03/08/2021,287.12,17879050,285.42,287.23,284,1,1,1,0
04/08/2021,286.51,16191300,286.22,287.5883,284.65,1,0,0,0
05/08/2021,289.52,13900170,286.88,289.63,286.1,1,1,1,1
06/08/2021,289.46,16589340,288.505,289.5,287.6238,1,0,0,1
07/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
08/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
09/08/2021,288.33,16117630,289.75,291.55,287.81,0,1,0,1
10/08/2021,286.44,18616580,288.8,289.25,285.2,0,0,-1,-1
11/08/2021,286.95,13955930,287.21,288.66,285.86,0,1,0,-1
12/08/2021,289.81,14570390,286.63,289.97,286.34,1,1,1,1
13/08/2021,292.85,18249050,289.48,292.9,289.3,1,1,1,1
14/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
15/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
16/08/2021,294.6,22516030,293.19,294.82,290.02,1,1,0,1
17/08/2021,293.08,20075250,292.39,293.43,291.08,1,0,0,0
18/08/2021,290.73,21812990,292.04,294.82,290.27,0,0,0,-1
19/08/2021,296.77,29850460,288.694,297.47,288.64,1,1,1,1
20/08/2021,304.36,40817650,299.72,305.84,298.06,1,1,1,1
21/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
22/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
23/08/2021,304.65,22830160,303.245,305.4,301.85,1,1,0,1
24/08/2021,302.62,18175770,305.02,305.65,302.0035,0,0,-1,0
25/08/2021,302.01,20006060,304.3,304.59,300.42,0,0,-1,-1
26/08/2021,299.09,17666080,300.99,302.429,298.95,0,0,-1,-1
27/08/2021,299.72,22605730,298.987,300.87,296.83,1,1,0,0
28/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
29/08/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
30/08/2021,303.59,16348070,301.115,304.22,301.06,1,1,1,1
31/08/2021,301.88,26285340,304.42,304.5,301.5,0,0,-1,0
01/09/2021,301.83,18983830,302.865,305.19,301.49,0,0,0,-1
02/09/2021,301.15,16290550,302.2,303.3602,300.18,0,0,0,-1
03/09/2021,301.14,14751610,300.99,302.6,300.26,1,0,0,0
04/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
05/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
06/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
07/09/2021,300.18,17184080,301.005,301.09,298.2,0,1,0,1
08/09/2021,300.21,15046820,299.78,300.61,297.4651,1,1,0,0
09/09/2021,297.25,19927000,300.82,302.14,297,0,0,-1,-1
10/09/2021,295.71,19633360,298.415,299.92,295.38,0,0,-1,-1
11/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
12/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
13/09/2021,296.99,23652950,297.55,298.54,294.08,0,1,0,1
14/09/2021,299.79,21853430,299.56,301.39,298.1,1,1,0,1
15/09/2021,304.82,28356300,303.26,305.32,301.82,1,1,1,1
16/09/2021,305.22,19550820,303.76,305.31,300.76,1,1,0,1
17/09/2021,299.87,41372460,304.17,304.5,299.53,0,0,-1,-1
18/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
19/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
20/09/2021,294.3,38278660,296.33,298.72,289.52,0,1,-1,1
21/09/2021,294.8,22364100,295.69,297.54,294.07,0,1,0,-1
22/09/2021,298.58,26626340,296.725,300.22,294.51,1,1,1,1
23/09/2021,299.56,18604600,298.845,300.9,297.5339,1,1,0,1
24/09/2021,299.35,14998980,298.23,299.8,296.93,1,0,0,0
25/09/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
